X,Y,GU_NM,THT_HG,BHT_DM,WTRTB_BT,WDPT_NM,CREAT_DE
126.959782093,37.539843603,용산구,7.00000000,15.00000000,1.00000000,왕벚나무,
126.953940929,37.535388716,용산구,7.00000000,7.00000000,3.00000000,왕벚나무,
126.95970671,37.538426543,용산구,5.00000000,10.00000000,2.00000000,왕벚나무,
126.958624205,37.540353788,용산구,7.00000000,18.00000000,4.00000000,왕벚나무,
126.960192164,37.539681144,용산구,7.00000000,17.00000000,4.00000000,왕벚나무,
126.960585775,37.539513595,용산구,7.00000000,28.00000000,4.00000000,왕벚나무,
126.965453916,37.521969268,용산구,11.00000000,19.00000000,5.00000000,왕벚나무,
126.963665911,37.524969656,용산구,11.00000000,22.00000000,6.00000000,산벚나무,
126.960097235,37.537842893,용산구,5.00000000,8.00000000,2.00000000,왕벚나무,
126.965865462,37.521977426,용산구,11.00000000,17.00000000,5.00000000,왕벚나무,
126.963273292,37.524563892,용산구,10.00000000,20.00000000,6.00000000,산벚나무,
127.045426298,37.569095605,성동구,7.00000000,11.00000000,3.00000000,왕벚나무,
126.996264212,37.558889046,중구,5.00000000,12.00000000,5.00000000,왕벚나무,
126.996503075,37.559883415,중구,4.00000000,13.00000000,2.00000000,왕벚나무,
126.963175143,37.52446083,용산구,12.00000000,24.00000000,7.00000000,산벚나무,
126.959384108,37.53889886,용산구,3.00000000,11.00000000,2.00000000,왕벚나무,
126.953632556,37.535431151,용산구,7.00000000,10.00000000,3.00000000,왕벚나무,
126.960316775,37.539635634,용산구,7.00000000,25.00000000,4.00000000,왕벚나무,
126.96552775,37.521970467,용산구,11.00000000,18.00000000,5.00000000,왕벚나무,
126.963723425,37.525031523,용산구,10.00000000,20.00000000,6.00000000,산벚나무,
126.968011961,37.522368455,용산구,11.00000000,20.00000000,5.00000000,왕벚나무,
126.996020858,37.560785258,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996026532,37.560737412,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996037639,37.560574923,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.967440239,37.522249193,용산구,11.00000000,17.00000000,5.00000000,왕벚나무,
126.961956058,37.523190309,용산구,10.00000000,24.00000000,7.00000000,산벚나무,
126.996103624,37.559108317,중구,5.00000000,12.00000000,6.00000000,왕벚나무,
127.045793912,37.568492369,성동구,7.00000000,10.00000000,3.00000000,왕벚나무,
126.960079221,37.539731411,용산구,7.00000000,30.00000000,4.00000000,왕벚나무,
126.95376415,37.535454185,용산구,7.00000000,8.00000000,3.00000000,왕벚나무,
127.011869355,37.554726962,중구,6.00000000,12.00000000,3.00000000,왕벚나무,
126.996051706,37.560463899,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
126.996052208,37.56040479,중구,6.00000000,15.00000000,5.00000000,왕벚나무,
